,station_nbr,date,tmax,tmin,tavg,depart,dewpoint,wetbulb,heat,cool,snowfall,preciptotal,stnpressure,sealevel,resultspeed,resultdir,avgspeed,year,month,day,codesum,sunrise,sunset
0,18,2012-01-01,59.0,40.0,50.0,4.0,28.0,40.0,15.0,0.0,0.0,0.0,29.98,30.49,9.0,33.0,8.9,2012,1,1, ,0730,1732
1,18,2012-01-02,53.0,35.0,44.0,2.0,23.0,36.0,21.0,0.0,0.0,0.0,30.11,30.63,6.7,35.0,6.9,2012,1,2, ,0730,1733
2,18,2012-01-03,59.0,30.0,45.0,0.0,25.0,37.0,20.0,0.0,0.0,0.0,29.84,30.41,8.8,17.0,9.1,2012,1,3, ,0730,1734
3,18,2012-01-04,62.0,37.0,50.0,5.0,33.0,41.0,15.0,0.0,0.0,0.0,29.75,30.28,0.8,15.0,5.5,2012,1,4, ,0730,1734
4,18,2012-01-05,66.0,35.0,51.0,6.0,33.0,42.0,14.0,0.0,0.0,0.0,29.66,30.21,2.7,18.0,2.9,2012,1,5, ,0731,1735
5,18,2012-01-06,73.0,48.0,61.0,16.0,46.0,53.0,4.0,0.0,0.0,0.0,29.39,29.93,8.6,19.0,9.1,2012,1,6, ,0731,1736
6,18,2012-01-07,61.0,44.0,53.0,8.0,41.0,47.0,12.0,0.0,0.0,0.0,29.47,29.98,4.3,31.0,6.4,2012,1,7, ,0731,1737
7,18,2012-01-08,58.0,40.0,49.0,4.0,45.0,48.0,16.0,0.0,0.0,0.02,29.56,30.07,3.8,2.0,4.1,2012,1,8,TSRA FG+ BR HZ,0731,1738
8,18,2012-01-09,51.0,44.0,48.0,3.0,43.0,45.0,17.0,0.0,0.0,1.32,29.54,30.08,8.0,36.0,9.0,2012,1,9,TSRA RA BR,0731,1738
9,18,2012-01-10,46.0,42.0,44.0,1.0,41.0,43.0,21.0,0.0,0.0,0.49,29.34,29.89,8.0,31.0,8.9,2012,1,10,TS TSRA RA DZ BR,0731,1739
10,18,2012-01-11,65.0,36.0,51.0,6.0,39.0,45.0,14.0,0.0,0.0,0.0,29.26,29.76,3.6,34.0,8.1,2012,1,11, ,0731,1740
11,18,2012-01-12,42.0,29.0,36.0,9.0,14.0,29.0,29.0,0.0,0.0,0.0,29.7,30.2,12.6,32.0,12.9,2012,1,12, ,0730,1741
12,18,2012-01-13,56.0,28.0,42.0,3.0,24.0,35.0,23.0,0.0,0.0,0.0,29.7,30.23,3.8,20.0,3.9,2012,1,13, ,0730,1742
13,18,2012-01-14,67.0,37.0,52.0,7.0,28.0,40.0,13.0,0.0,0.0,0.0,29.73,30.26,2.5,19.0,4.3,2012,1,14, ,0730,1743
14,18,2012-01-15,65.0,38.0,52.0,6.0,37.0,46.0,13.0,0.0,0.0,0.0,29.64,30.18,12.7,17.0,13.4,2012,1,15, ,0730,1744
15,18,2012-01-16,70.0,61.0,66.0,20.0,57.0,61.0,0.0,1.0,0.0,0.0,29.42,29.96,13.3,20.0,13.4,2012,1,16, ,0730,1745
16,18,2012-01-17,68.0,38.0,53.0,7.0,35.0,44.0,12.0,0.0,0.0,0.0,29.68,30.18,9.4,35.0,12.0,2012,1,17, ,0730,1746
17,18,2012-01-18,55.0,30.0,43.0,3.0,26.0,37.0,22.0,0.0,0.0,0.0,29.64,30.19,2.5,14.0,5.5,2012,1,18, ,0729,1747
18,18,2012-01-19,73.0,40.0,57.0,11.0,37.0,46.0,8.0,0.0,0.0,0.0,29.33,29.87,3.8,14.0,5.4,2012,1,19, ,0729,1747
19,18,2012-01-20,78.0,47.0,63.0,17.0,51.0,56.0,2.0,0.0,0.0,0.0,29.24,29.75,4.9,19.0,10.5,2012,1,20,FG+ BR,0729,1748
20,18,2012-01-21,51.0,37.0,44.0,2.0,33.0,39.0,21.0,0.0,0.0,0.0,29.44,29.97,5.7,36.0,9.7,2012,1,21, ,0728,1749
21,18,2012-01-22,80.0,46.0,63.0,17.0,43.0,52.0,2.0,0.0,0.0,0.0,29.24,29.75,7.5,22.0,14.9,2012,1,22,BR DU,0728,1750
22,18,2012-01-23,62.0,39.0,51.0,5.0,32.0,43.0,14.0,0.0,0.0,0.0,29.54,30.05,1.0,36.0,3.8,2012,1,23, ,0727,1751
23,18,2012-01-24,69.0,42.0,56.0,10.0,39.0,47.0,9.0,0.0,0.0,1.44,29.44,29.98,10.1,10.0,10.6,2012,1,24,TSRA RA BR,0727,1752
24,18,2012-01-25,52.0,47.0,50.0,3.0,46.0,47.0,15.0,0.0,0.0,3.06,29.34,29.88,10.2,36.0,11.6,2012,1,25,TSRA RA BR,0726,1753
25,18,2012-01-26,62.0,44.0,53.0,6.0,41.0,46.0,12.0,0.0,0.0,0.23,29.44,29.95,8.2,32.0,8.8,2012,1,26,RA DZ BR,0726,1754
26,18,2012-01-27,67.0,36.0,52.0,5.0,39.0,46.0,13.0,0.0,0.0,0.0,29.49,29.98,3.7,20.0,9.4,2012,1,27, ,0725,1755
27,18,2012-01-28,53.0,36.0,45.0,2.0,26.0,37.0,20.0,0.0,0.0,0.0,29.91,30.4,8.8,36.0,9.1,2012,1,28, ,0725,1756
28,18,2012-01-29,61.0,31.0,46.0,1.0,29.0,39.0,19.0,0.0,0.0,0.0,29.83,30.37,4.6,19.0,5.1,2012,1,29, ,0724,1757
29,18,2012-01-30,68.0,42.0,55.0,7.0,43.0,50.0,10.0,0.0,0.0,0.0,29.62,30.17,10.7,18.0,11.1,2012,1,30, ,0724,1758
30,18,2012-01-31,75.0,58.0,67.0,19.0,56.0,59.0,0.0,2.0,0.0,0.0,29.51,30.03,10.7,18.0,11.1,2012,1,31, ,0723,1759
31,18,2012-02-01,73.0,52.0,63.0,15.0,55.0,58.0,2.0,0.0,0.0,0.01,29.55,30.06,1.3,29.0,4.2,2012,2,1,BR,0722,1760
32,18,2012-02-02,73.0,48.0,61.0,13.0,55.0,58.0,4.0,0.0,0.0,0.01,29.52,30.05,8.6,12.0,9.1,2012,2,2,BR,0722,1801
33,18,2012-02-03,74.0,55.0,65.0,16.0,61.0,63.0,0.0,0.0,0.0,0.0,29.44,29.94,8.1,17.0,13.0,2012,2,3,RA BR,0721,1801
34,18,2012-02-04,56.0,44.0,50.0,1.0,39.0,45.0,15.0,0.0,0.0,0.0,29.7,30.2,14.9,34.0,15.2,2012,2,4, ,0720,1802
35,18,2012-02-05,47.0,36.0,42.0,7.0,33.0,39.0,23.0,0.0,0.0,0.0,29.82,30.35,9.0,35.0,9.6,2012,2,5, ,0720,1803
36,18,2012-02-06,55.0,34.0,45.0,4.0,33.0,40.0,20.0,0.0,0.0,0.0,29.73,30.28,1.1,2.0,2.8,2012,2,6, ,0719,1803
37,18,2012-02-07,60.0,45.0,53.0,4.0,40.0,46.0,12.0,0.0,0.0,0.0,29.73,30.25,2.4,36.0,4.2,2012,2,7, ,0718,1804
38,18,2012-02-08,47.0,41.0,44.0,5.0,35.0,40.0,21.0,0.0,0.0,0.0,29.88,30.41,6.7,35.0,7.3,2012,2,8, ,0717,1805
39,18,2012-02-09,56.0,34.0,45.0,5.0,37.0,42.0,20.0,0.0,0.0,0.02,29.68,30.24,5.2,15.0,5.9,2012,2,9,RA,0716,1806
40,18,2012-02-10,58.0,35.0,47.0,3.0,38.0,44.0,18.0,0.0,0.0,0.11,29.68,30.18,7.5,34.0,11.0,2012,2,10,RA BR,0715,1807
41,18,2012-02-11,38.0,29.0,34.0,16.0,15.0,28.0,31.0,0.0,0.0,0.0,30.03,30.54,11.3,1.0,11.7,2012,2,11, ,0714,1808
42,18,2012-02-12,43.0,28.0,36.0,14.0,17.0,30.0,29.0,0.0,0.0,0.03,29.88,30.45,6.2,12.0,8.1,2012,2,12,SN,0714,1809
43,18,2012-02-13,46.0,34.0,40.0,11.0,37.0,39.0,25.0,0.0,0.0,0.19,29.42,30.0,7.7,14.0,8.3,2012,2,13,RA DZ SN FG BR,0713,1810
44,18,2012-02-14,65.0,45.0,55.0,4.0,47.0,49.0,10.0,0.0,0.0,0.0,29.38,29.92,10.8,13.0,11.2,2012,2,14,FG+ BR,0712,1811
45,18,2012-02-15,76.0,50.0,63.0,12.0,44.0,52.0,2.0,0.0,0.0,0.05,29.41,29.91,2.7,19.0,7.8,2012,2,15,RA BR,0711,1812
46,18,2012-02-16,58.0,43.0,51.0,0.0,42.0,46.0,14.0,0.0,0.0,0.0,29.66,30.18,5.4,36.0,6.9,2012,2,16,BR,0710,1813
47,18,2012-02-17,64.0,47.0,56.0,5.0,45.0,50.0,9.0,0.0,0.0,0.02,29.54,30.07,2.7,8.0,4.2,2012,2,17,RA BR,0709,1813
48,18,2012-02-18,53.0,46.0,50.0,1.0,46.0,47.0,15.0,0.0,0.0,1.56,29.44,29.96,8.2,2.0,9.9,2012,2,18,RA BR,0708,1814
49,18,2012-02-19,57.0,38.0,48.0,3.0,41.0,44.0,17.0,0.0,0.0,0.0,29.55,30.08,2.0,31.0,6.5,2012,2,19,BR HZ,0707,1815
50,18,2012-02-20,64.0,43.0,54.0,2.0,42.0,48.0,11.0,0.0,0.0,0.0,29.48,30.0,9.0,17.0,13.0,2012,2,20,HZ DU,0706,1816
51,18,2012-02-21,71.0,35.0,53.0,0.0,38.0,47.0,12.0,0.0,0.0,0.0,29.49,30.03,6.1,19.0,6.2,2012,2,21, ,0705,1817
52,18,2012-02-22,79.0,55.0,67.0,14.0,42.0,54.0,0.0,2.0,0.0,0.0,29.15,29.71,6.8,23.0,8.5,2012,2,22, ,0703,1818
53,18,2012-02-23,82.0,54.0,68.0,15.0,36.0,52.0,0.0,3.0,0.0,0.0,29.05,29.53,6.8,30.0,12.7,2012,2,23, ,0702,1819
54,18,2012-02-24,59.0,44.0,52.0,1.0,21.0,40.0,13.0,0.0,0.0,0.0,29.72,30.19,11.5,36.0,11.7,2012,2,24, ,0701,1819
55,18,2012-02-25,65.0,37.0,51.0,3.0,24.0,40.0,14.0,0.0,0.0,0.0,29.74,30.27,6.6,19.0,7.1,2012,2,25, ,0700,1820
