,station_nbr,date,tmax,tmin,tavg,depart,dewpoint,wetbulb,heat,cool,snowfall,preciptotal,stnpressure,sealevel,resultspeed,resultdir,avgspeed,year,month,day,codesum,sunrise,sunset
0,2,2012-01-01,48.0,33.0,41.0,16.0,37.0,39.0,24.0,0.0,0.0,0.07,28.82,29.91,9.1,23.0,11.3,2012,1,1,RA,0716,1626
1,2,2012-01-02,46.0,28.0,37.0,12.0,24.0,32.0,28.0,0.0,0.0,0.01,28.51,29.62,12.7,26.0,13.3,2012,1,2, ,0716,1627
2,2,2012-01-03,28.0,9.0,19.0,6.0,4.0,16.0,46.0,0.0,0.0,0.0,28.69,29.85,12.3,31.0,12.8,2012,1,3, ,0716,1628
3,2,2012-01-04,21.0,5.0,13.0,11.0,0.0,11.0,52.0,0.0,0.0,0.0,28.87,30.01,10.1,27.0,11.7,2012,1,4, ,0716,1629
4,2,2012-01-05,31.0,20.0,26.0,2.0,12.0,21.0,39.0,0.0,0.0,0.0,28.7,29.84,10.9,26.0,11.3,2012,1,5, ,0716,1630
5,2,2012-01-06,47.0,21.0,34.0,10.0,23.0,30.0,31.0,0.0,0.2,0.01,28.71,29.81,6.4,22.0,6.8,2012,1,6,SN,0716,1630
6,2,2012-01-07,56.0,37.0,47.0,23.0,29.0,38.0,18.0,0.0,0.0,0.0,28.63,29.75,8.9,26.0,9.6,2012,1,7, ,0716,1631
7,2,2012-01-08,39.0,25.0,32.0,8.0,20.0,29.0,33.0,0.0,0.0,0.0,28.95,30.11,10.8,29.0,11.0,2012,1,8, ,0716,1633
8,2,2012-01-09,38.0,21.0,30.0,6.0,12.0,26.0,35.0,0.0,0.0,0.0,29.05,30.23,6.9,25.0,7.9,2012,1,9, ,0716,1634
9,2,2012-01-10,41.0,25.0,33.0,9.0,24.0,30.0,32.0,0.0,0.0,0.0,28.74,29.86,9.6,26.0,10.0,2012,1,10,SN,0716,1635
10,2,2012-01-11,38.0,28.0,33.0,9.0,22.0,28.0,32.0,0.0,0.0,0.0,28.92,30.06,1.5,9.0,4.5,2012,1,11, ,0715,1636
11,2,2012-01-12,33.0,30.0,32.0,8.0,31.0,31.0,33.0,0.0,3.6,1.06,28.62,29.69,10.5,5.0,10.7,2012,1,12,RA SN FG+ FG FZFG BR UP,0715,1637
12,2,2012-01-13,40.0,24.0,32.0,8.0,24.0,28.0,33.0,0.0,0.2,0.09,28.3,29.4,9.7,24.0,15.8,2012,1,13,FZRA FG+ FZFG UP,0715,1638
13,2,2012-01-14,28.0,12.0,20.0,3.0,8.0,19.0,45.0,0.0,0.0,0.0,28.64,29.81,16.1,27.0,16.7,2012,1,14, ,0714,1639
14,2,2012-01-15,13.0,2.0,8.0,15.0,3.0,5.0,57.0,0.0,0.0,0.0,29.05,30.28,13.6,31.0,13.8,2012,1,15, ,0714,1640
15,2,2012-01-16,30.0,4.0,17.0,6.0,3.0,14.0,48.0,0.0,2.0,0.15,29.27,30.41,8.6,24.0,12.0,2012,1,16,SN FZFG BR UP,0713,1641
16,2,2012-01-17,44.0,30.0,37.0,14.0,33.0,35.0,28.0,0.0,1.2,0.09,28.74,29.8,13.5,23.0,13.8,2012,1,17,RA SN FG+ BR,0713,1643
17,2,2012-01-18,46.0,16.0,31.0,8.0,14.0,25.0,34.0,0.0,0.0,0.0,28.62,29.81,17.0,28.0,19.2,2012,1,18, ,0712,1644
18,2,2012-01-19,26.0,10.0,18.0,5.0,9.0,16.0,47.0,0.0,1.3,0.14,29.02,30.13,2.0,12.0,6.8,2012,1,19,SN BR,0712,1645
19,2,2012-01-20,27.0,15.0,21.0,2.0,11.0,19.0,44.0,0.0,1.0,0.01,28.92,30.09,9.3,28.0,10.0,2012,1,20,SN BR,0711,1646
20,2,2012-01-21,17.0,12.0,15.0,8.0,9.0,14.0,50.0,0.0,4.3,0.31,29.04,30.2,6.4,3.0,6.7,2012,1,21,SN FZFG BR,0710,1647
21,2,2012-01-22,28.0,11.0,20.0,3.0,11.0,17.0,45.0,0.0,0.0,0.0,29.31,30.5,4.0,4.0,6.0,2012,1,22, ,0710,1649
