,station_nbr,date,tmax,tmin,tavg,depart,dewpoint,wetbulb,heat,cool,snowfall,preciptotal,stnpressure,sealevel,resultspeed,resultdir,avgspeed,year,month,day,sunset,sunrise,codesum
0,18,2012-01-01,59.0,40.0,50.0,4.0,28.0,40.0,15.0,0.0,0.0,0.0,29.98,30.49,9.0,33.0,8.9,2012,1,1,1732,0730, 
1,18,2012-01-02,53.0,35.0,44.0,2.0,23.0,36.0,21.0,0.0,0.0,0.0,30.11,30.63,6.7,35.0,6.9,2012,1,2,1733,0730, 
2,18,2012-01-03,59.0,30.0,45.0,0.0,25.0,37.0,20.0,0.0,0.0,0.0,29.84,30.41,8.8,17.0,9.1,2012,1,3,1734,0730, 
3,18,2012-01-04,62.0,37.0,50.0,5.0,33.0,41.0,15.0,0.0,0.0,0.0,29.75,30.28,0.8,15.0,5.5,2012,1,4,1734,0730, 
4,18,2012-01-05,66.0,35.0,51.0,6.0,33.0,42.0,14.0,0.0,0.0,0.0,29.66,30.21,2.7,18.0,2.9,2012,1,5,1735,0731, 
5,18,2012-01-06,73.0,48.0,61.0,16.0,46.0,53.0,4.0,0.0,0.0,0.0,29.39,29.93,8.6,19.0,9.1,2012,1,6,1736,0731, 
6,18,2012-01-07,61.0,44.0,53.0,8.0,41.0,47.0,12.0,0.0,0.0,0.0,29.47,29.98,4.3,31.0,6.4,2012,1,7,1737,0731, 
7,18,2012-01-08,58.0,40.0,49.0,4.0,45.0,48.0,16.0,0.0,0.0,0.02,29.56,30.07,3.8,2.0,4.1,2012,1,8,1738,0731,TSRA FG+ BR HZ
8,18,2012-01-09,51.0,44.0,48.0,3.0,43.0,45.0,17.0,0.0,0.0,1.32,29.54,30.08,8.0,36.0,9.0,2012,1,9,1738,0731,TSRA RA BR
9,18,2012-01-10,46.0,42.0,44.0,1.0,41.0,43.0,21.0,0.0,0.0,0.49,29.34,29.89,8.0,31.0,8.9,2012,1,10,1739,0731,TS TSRA RA DZ BR
10,18,2012-01-11,65.0,36.0,51.0,6.0,39.0,45.0,14.0,0.0,0.0,0.0,29.26,29.76,3.6,34.0,8.1,2012,1,11,1740,0731, 
11,18,2012-01-12,42.0,29.0,36.0,9.0,14.0,29.0,29.0,0.0,0.0,0.0,29.7,30.2,12.6,32.0,12.9,2012,1,12,1741,0730, 
12,18,2012-01-13,56.0,28.0,42.0,3.0,24.0,35.0,23.0,0.0,0.0,0.0,29.7,30.23,3.8,20.0,3.9,2012,1,13,1742,0730, 
13,18,2012-01-14,67.0,37.0,52.0,7.0,28.0,40.0,13.0,0.0,0.0,0.0,29.73,30.26,2.5,19.0,4.3,2012,1,14,1743,0730, 
14,18,2012-01-15,65.0,38.0,52.0,6.0,37.0,46.0,13.0,0.0,0.0,0.0,29.64,30.18,12.7,17.0,13.4,2012,1,15,1744,0730, 
15,18,2012-01-16,70.0,61.0,66.0,20.0,57.0,61.0,0.0,1.0,0.0,0.0,29.42,29.96,13.3,20.0,13.4,2012,1,16,1745,0730, 
16,18,2012-01-17,68.0,38.0,53.0,7.0,35.0,44.0,12.0,0.0,0.0,0.0,29.68,30.18,9.4,35.0,12.0,2012,1,17,1746,0730, 
17,18,2012-01-18,55.0,30.0,43.0,3.0,26.0,37.0,22.0,0.0,0.0,0.0,29.64,30.19,2.5,14.0,5.5,2012,1,18,1747,0729, 
