,station_nbr,date,tmax,tmin,tavg,depart,dewpoint,wetbulb,heat,cool,snowfall,preciptotal,stnpressure,sealevel,resultspeed,resultdir,avgspeed,year,month,day,codesum,sunrise,sunset
0,4,2012-01-01,63.0,47.0,55.0,4.0,28.0,43.0,10.0,0.0,0.0,0.0,29.79,30.48,8.0,35.0,8.2,2012,1,1, ,0728,1742
1,4,2012-01-02,60.0,37.0,49.0,2.0,26.0,39.0,16.0,0.0,0.0,0.0,29.93,30.64,3.7,36.0,4.8,2012,1,2, ,0728,1742
2,4,2012-01-03,62.0,31.0,47.0,4.0,26.0,39.0,18.0,0.0,0.0,0.0,29.7,30.48,3.1,17.0,4.2,2012,1,3, ,0728,1743
3,4,2012-01-04,73.0,41.0,57.0,6.0,39.0,47.0,8.0,0.0,0.0,0.0,29.55,30.28,1.3,35.0,2.2,2012,1,4, ,0728,1744
4,4,2012-01-05,70.0,44.0,57.0,6.0,41.0,49.0,8.0,0.0,0.0,0.0,29.51,30.24,0.4,31.0,1.8,2012,1,5, ,0728,1745
5,4,2012-01-06,74.0,55.0,65.0,14.0,52.0,60.0,0.0,0.0,0.0,0.0,29.26,29.83,4.2,19.0,5.4,2012,1,6,BR,0728,1745
6,4,2012-01-07,69.0,49.0,59.0,8.0,44.0,49.0,6.0,0.0,0.0,0.0,29.51,30.24,1.0,30.0,2.3,2012,1,7,FG+ BR,0729,1746
7,4,2012-01-08,60.0,47.0,54.0,3.0,48.0,50.0,11.0,0.0,0.0,0.05,29.31,30.01,2.4,3.0,3.6,2012,1,8,RA HZ,0729,1747
8,4,2012-01-09,57.0,42.0,50.0,1.0,47.0,48.0,15.0,0.0,0.0,0.87,29.33,30.02,6.6,34.0,8.2,2012,1,9,RA BR,0729,1748
9,4,2012-01-10,58.0,41.0,50.0,1.0,37.0,43.0,15.0,0.0,0.0,0.0,29.24,29.97,5.5,30.0,7.1,2012,1,10, ,0729,1749
10,4,2012-01-11,77.0,38.0,58.0,7.0,36.0,46.0,7.0,0.0,0.0,0.0,29.1,29.9,3.7,29.0,6.3,2012,1,11, ,0729,1749
11,4,2012-01-12,50.0,33.0,42.0,9.0,16.0,33.0,23.0,0.0,0.0,0.0,29.54,30.24,8.2,34.0,8.3,2012,1,12, ,0729,1750
12,4,2012-01-13,58.0,32.0,45.0,6.0,22.0,36.0,20.0,0.0,0.0,0.0,29.59,30.3,1.6,28.0,3.9,2012,1,13, ,0728,1751
13,4,2012-01-14,67.0,31.0,49.0,2.0,24.0,39.0,16.0,0.0,0.0,0.0,29.62,30.22,1.5,21.0,1.9,2012,1,14, ,0728,1752
14,4,2012-01-15,64.0,37.0,51.0,0.0,41.0,48.0,14.0,0.0,0.0,0.0,29.53,30.26,2.7,18.0,4.4,2012,1,15, ,0728,1753
15,4,2012-01-16,73.0,60.0,67.0,16.0,59.0,62.0,0.0,2.0,0.0,0.0,29.33,30.05,7.1,18.0,7.6,2012,1,16,BR,0728,1754
16,4,2012-01-17,74.0,44.0,59.0,8.0,46.0,54.0,6.0,0.0,0.0,0.0,29.46,30.12,5.6,35.0,7.8,2012,1,17,BR,0728,1755
17,4,2012-01-18,66.0,36.0,51.0,1.0,30.0,42.0,14.0,0.0,0.0,0.0,29.47,30.2,0.2,11.0,3.7,2012,1,18, ,0728,1755
18,4,2012-01-19,80.0,45.0,63.0,11.0,49.0,55.0,2.0,0.0,0.0,0.0,29.21,29.93,4.0,20.0,4.3,2012,1,19, ,0727,1756
19,4,2012-01-20,74.0,57.0,66.0,14.0,58.0,60.0,0.0,1.0,0.0,0.0,29.14,29.83,3.8,19.0,4.6,2012,1,20,FG+ FG BR HZ,0727,1757
20,4,2012-01-21,61.0,43.0,52.0,0.0,41.0,46.0,13.0,0.0,0.0,0.0,29.26,29.96,2.7,1.0,4.8,2012,1,21,BR,0727,1758
21,4,2012-01-22,76.0,50.0,63.0,11.0,53.0,57.0,2.0,0.0,0.0,0.0,29.13,29.82,1.8,19.0,4.6,2012,1,22,BR HZ,0727,1759
22,4,2012-01-23,67.0,48.0,58.0,6.0,37.0,47.0,7.0,0.0,0.0,0.0,29.18,29.89,2.3,1.0,4.4,2012,1,23, ,0726,1760
23,4,2012-01-24,68.0,47.0,58.0,6.0,52.0,55.0,7.0,0.0,0.0,0.4,29.19,29.92,2.2,11.0,3.5,2012,1,24,RA BR,0726,1801
