,station_nbr,date,tmax,tmin,tavg,depart,dewpoint,wetbulb,heat,cool,snowfall,preciptotal,stnpressure,sealevel,resultspeed,resultdir,avgspeed,year,month,day,sunset,sunrise,codesum
0,4,2012-01-01,63.0,47.0,55.0,4.0,28.0,43.0,10.0,0.0,0.0,0.0,29.79,30.48,8.0,35.0,8.2,2012,1,1,1742,0728, 
1,4,2012-01-02,60.0,37.0,49.0,2.0,26.0,39.0,16.0,0.0,0.0,0.0,29.93,30.64,3.7,36.0,4.8,2012,1,2,1742,0728, 
2,4,2012-01-03,62.0,31.0,47.0,4.0,26.0,39.0,18.0,0.0,0.0,0.0,29.7,30.48,3.1,17.0,4.2,2012,1,3,1743,0728, 
3,4,2012-01-04,73.0,41.0,57.0,6.0,39.0,47.0,8.0,0.0,0.0,0.0,29.55,30.28,1.3,35.0,2.2,2012,1,4,1744,0728, 
4,4,2012-01-05,70.0,44.0,57.0,6.0,41.0,49.0,8.0,0.0,0.0,0.0,29.51,30.24,0.4,31.0,1.8,2012,1,5,1745,0728, 
5,4,2012-01-06,74.0,55.0,65.0,14.0,52.0,61.57941176470588,0.0,0.0,0.0,0.0,29.26,30.004498031496137,4.2,19.0,5.4,2012,1,6,1745,0728,BR
6,4,2012-01-07,69.0,49.0,59.0,8.0,44.0,61.57941176470588,6.0,0.0,0.0,0.0,29.317943743937942,30.004498031496137,1.0,30.0,2.3,2012,1,7,1746,0729,FG+ BR
7,4,2012-01-08,60.0,47.0,54.0,3.0,48.0,61.57941176470588,11.0,0.0,0.0,0.05,29.31,30.004498031496137,2.4,3.0,3.6,2012,1,8,1747,0729,RA HZ
8,4,2012-01-09,57.0,42.0,50.0,1.0,47.0,48.0,15.0,0.0,0.0,0.87,29.33,30.02,6.6,34.0,8.2,2012,1,9,1748,0729,RA BR
9,4,2012-01-10,58.0,41.0,50.0,1.0,37.0,43.0,15.0,0.0,0.0,0.0,29.24,29.97,5.5,30.0,7.1,2012,1,10,1749,0729, 
10,4,2012-01-11,77.0,38.0,58.0,7.0,36.0,61.57941176470588,7.0,0.0,0.0,0.0,29.1,30.004498031496137,3.7,29.0,6.3,2012,1,11,1749,0729, 
11,4,2012-01-12,50.0,33.0,42.0,9.0,16.0,33.0,23.0,0.0,0.0,0.0,29.54,30.24,8.2,34.0,8.3,2012,1,12,1750,0729, 
12,4,2012-01-13,58.0,32.0,45.0,6.0,22.0,36.0,20.0,0.0,0.0,0.0,29.59,30.3,1.6,28.0,3.9,2012,1,13,1751,0728, 
13,4,2012-01-14,67.0,31.0,49.0,2.0,24.0,61.57941176470588,16.0,0.0,0.0,0.0,29.62,30.004498031496137,1.5,21.0,1.9,2012,1,14,1752,0728, 
14,4,2012-01-15,64.0,37.0,51.0,0.0,41.0,48.0,14.0,0.0,0.0,0.0,29.53,30.26,2.7,18.0,4.4,2012,1,15,1753,0728, 
15,4,2012-01-16,73.0,60.0,67.0,16.0,59.0,62.0,0.0,2.0,0.0,0.0,29.33,30.05,7.1,18.0,7.6,2012,1,16,1754,0728,BR
16,4,2012-01-17,74.0,44.0,59.0,8.0,46.0,54.0,6.0,0.0,0.0,0.0,29.46,30.12,5.6,35.0,7.8,2012,1,17,1755,0728,BR
17,4,2012-01-18,66.0,36.0,51.0,1.0,30.0,42.0,14.0,0.0,0.0,0.0,29.47,30.2,0.2,11.0,3.7,2012,1,18,1755,0728, 
18,4,2012-01-19,80.0,45.0,63.0,11.0,49.0,55.0,2.0,0.0,0.0,0.0,29.21,29.93,4.0,20.0,4.3,2012,1,19,1756,0727, 
19,4,2012-01-20,74.0,57.0,66.0,14.0,58.0,60.0,0.0,1.0,0.0,0.0,29.14,29.83,3.8,19.0,4.6,2012,1,20,1757,0727,FG+ FG BR HZ
20,4,2012-01-21,61.0,43.0,52.0,0.0,41.0,46.0,13.0,0.0,0.0,0.0,29.26,29.96,2.7,1.0,4.8,2012,1,21,1758,0727,BR
21,4,2012-01-22,76.0,50.0,63.0,11.0,53.0,57.0,2.0,0.0,0.0,0.0,29.13,29.82,1.8,19.0,4.6,2012,1,22,1759,0727,BR HZ
22,4,2012-01-23,67.0,48.0,58.0,6.0,37.0,47.0,7.0,0.0,0.0,0.0,29.317943743937942,30.004498031496137,2.3,1.0,4.4,2012,1,23,1760,0726, 
23,4,2012-01-24,68.0,47.0,58.0,6.0,52.0,55.0,7.0,0.0,0.00019569471624266145,0.4,29.19,29.92,2.2,11.0,3.5,2012,1,24,1801,0726,RA BR
24,4,2012-01-25,70.0,50.0,60.0,8.0,52.0,54.0,5.0,0.0,0.0,3.14,29.18,29.85,5.1,33.0,6.9,2012,1,25,1801,0725,TS TSRA BR
25,4,2012-01-26,70.0,47.0,59.0,7.0,41.0,49.0,6.0,0.0,0.0,0.0,29.32,30.0,3.4,31.0,4.6,2012,1,26,1801,0725, 
26,4,2012-01-27,71.0,38.0,55.0,3.0,42.0,49.0,10.0,0.0,0.0,0.0,29.34,30.03,2.8,19.0,4.3,2012,1,27,1802,0725, 
27,4,2012-01-28,59.0,41.0,50.0,2.0,28.0,41.0,15.0,0.0,0.0,0.0,29.68,30.37,7.9,2.0,8.5,2012,1,28,1803,0724, 
28,4,2012-01-29,63.0,34.0,49.0,3.0,31.0,41.0,16.0,0.0,0.0,0.0,29.68,30.41,0.6,16.0,2.0,2012,1,29,1804,0724, 
29,4,2012-01-30,64.0,41.0,53.0,0.0,48.0,51.0,12.0,0.0,0.0,0.2,29.5,30.24,2.5,18.0,3.9,2012,1,30,1805,0723,RA BR
30,4,2012-01-31,73.0,58.0,66.0,13.0,58.0,60.0,0.0,1.0,0.0,0.04,29.38,30.09,3.5,18.0,4.2,2012,1,31,1806,0722,RA BR
