,station_nbr,date,tmax,tmin,tavg,depart,dewpoint,wetbulb,heat,cool,snowfall,preciptotal,stnpressure,sealevel,resultspeed,resultdir,avgspeed,year,month,day,sunset,sunrise,codesum
0,2,2012-01-01,48.0,33.0,41.0,16.0,37.0,39.0,24.0,0.0,0.0,0.07,28.82,29.91,9.1,23.0,11.3,2012,1,1,1626,0716,RA
1,2,2012-01-02,46.0,28.0,37.0,12.0,24.0,32.0,28.0,0.0,0.22693110647181636,0.01,28.51,29.62,12.7,26.0,13.3,2012,1,2,1627,0716, 
2,2,2012-01-03,28.0,9.0,19.0,6.0,4.0,16.0,46.0,0.0,0.0,0.0,28.69,29.85,12.3,31.0,12.8,2012,1,3,1628,0716, 
3,2,2012-01-04,21.0,5.0,13.0,11.0,0.0,11.0,52.0,0.0,0.0,0.0,28.87,30.01,10.1,27.0,11.7,2012,1,4,1629,0716, 
4,2,2012-01-05,31.0,20.0,26.0,2.0,12.0,21.0,39.0,0.0,0.0,0.0,28.7,29.84,10.9,26.0,11.3,2012,1,5,1630,0716, 
5,2,2012-01-06,47.0,21.0,34.0,10.0,23.0,30.0,31.0,0.0,0.2,0.01,28.71,29.81,6.4,22.0,6.8,2012,1,6,1630,0716,SN
6,2,2012-01-07,56.0,37.0,47.0,23.0,29.0,38.0,18.0,0.0,0.0,0.0,28.63,29.75,8.9,26.0,9.6,2012,1,7,1631,0716, 
7,2,2012-01-08,39.0,25.0,32.0,8.0,20.0,29.0,33.0,0.0,0.0,0.0,28.95,30.11,10.8,29.0,11.0,2012,1,8,1633,0716, 
8,2,2012-01-09,38.0,21.0,30.0,6.0,12.0,44.661432777232584,35.0,0.0,0.0,0.0,29.05,30.00888671874994,6.9,25.0,7.9,2012,1,9,1634,0716, 
9,2,2012-01-10,41.0,25.0,33.0,9.0,24.0,30.0,32.0,0.0,0.22693110647181636,0.14992152466367728,28.74,29.86,9.6,26.0,10.0,2012,1,10,1635,0716,SN
10,2,2012-01-11,38.0,28.0,33.0,9.0,22.0,28.0,32.0,0.0,0.0,0.0,28.92,30.06,1.5,9.0,4.5,2012,1,11,1636,0715, 
11,2,2012-01-12,33.0,30.0,32.0,8.0,31.0,31.0,33.0,0.0,3.6,1.06,28.62,29.69,10.5,5.0,10.7,2012,1,12,1637,0715,RA SN FG+ FG FZFG BR UP
12,2,2012-01-13,40.0,24.0,32.0,8.0,24.0,28.0,33.0,0.0,0.22693110647181636,0.09,28.3,29.4,9.7,24.0,15.8,2012,1,13,1638,0715,FZRA FG+ FZFG UP
13,2,2012-01-14,28.0,12.0,20.0,3.0,8.0,19.0,45.0,0.0,0.0,0.0,28.64,29.81,16.1,27.0,16.7,2012,1,14,1639,0714, 
14,2,2012-01-15,13.0,2.0,8.0,15.0,3.0,5.0,57.0,0.0,0.0,0.0,29.05,30.28,13.6,31.0,13.8,2012,1,15,1640,0714, 
15,2,2012-01-16,30.0,4.0,17.0,6.0,3.0,14.0,48.0,0.0,2.0,0.15,29.27,30.41,8.6,24.0,12.0,2012,1,16,1641,0713,SN FZFG BR UP
16,2,2012-01-17,44.0,30.0,37.0,14.0,33.0,35.0,28.0,0.0,1.2,0.09,28.74,29.8,13.5,23.0,13.8,2012,1,17,1643,0713,RA SN FG+ BR
17,2,2012-01-18,46.0,16.0,31.0,8.0,14.0,25.0,34.0,0.0,0.0,0.0,28.62,29.81,17.0,28.0,19.2,2012,1,18,1644,0712, 
18,2,2012-01-19,26.0,10.0,18.0,5.0,9.0,16.0,47.0,0.0,1.3,0.14,29.02,30.13,2.0,12.0,6.8,2012,1,19,1645,0712,SN BR
19,2,2012-01-20,27.0,15.0,21.0,2.0,11.0,19.0,44.0,0.0,1.0,0.01,28.92,30.09,9.3,28.0,10.0,2012,1,20,1646,0711,SN BR
20,2,2012-01-21,17.0,12.0,15.0,8.0,9.0,14.0,50.0,0.0,4.3,0.31,29.04,30.2,6.4,3.0,6.7,2012,1,21,1647,0710,SN FZFG BR
21,2,2012-01-22,28.0,11.0,20.0,3.0,11.0,17.0,45.0,0.0,0.0,0.0,29.31,30.5,4.0,4.0,6.0,2012,1,22,1649,0710, 
22,2,2012-01-23,47.0,24.0,36.0,13.0,29.0,31.0,29.0,0.0,0.22693110647181636,0.17,29.14,30.22,2.5,12.0,3.8,2012,1,23,1650,0709,RA SN FG+ FG BR
23,2,2012-01-24,50.0,35.0,43.0,20.0,38.0,42.0,22.0,0.0,0.0,0.03,28.8,29.93,11.1,26.0,12.6,2012,1,24,1651,0708,BR
24,2,2012-01-25,36.0,31.0,34.0,11.0,23.0,29.0,31.0,0.0,0.0,0.0,29.03,30.16,11.5,29.0,11.9,2012,1,25,1652,0707, 
25,2,2012-01-26,38.0,28.0,33.0,10.0,28.0,31.0,32.0,0.0,0.22693110647181636,0.2,29.02,30.12,1.7,12.0,5.0,2012,1,26,1654,0707,FZRA SN FG+ FZFG BR UP
26,2,2012-01-27,40.0,31.0,36.0,13.0,33.0,34.0,29.0,0.0,0.22693110647181636,0.69,28.48,29.56,5.6,32.0,12.0,2012,1,27,1655,0706,RA FZRA FG+ FG BR UP
27,2,2012-01-28,43.0,31.0,37.0,14.0,26.0,32.0,28.0,0.0,0.22693110647181636,0.14992152466367728,28.74,29.88,8.8,25.0,11.1,2012,1,28,1656,0705,SN
28,2,2012-01-29,37.0,30.0,34.0,10.0,14.0,27.0,31.0,0.0,0.22693110647181636,0.14992152466367728,28.88,30.01,13.3,25.0,13.7,2012,1,29,1658,0704, 
29,2,2012-01-30,34.0,23.0,29.0,5.0,15.0,25.0,36.0,0.0,0.22693110647181636,0.14992152466367728,28.95,30.11,10.7,28.0,12.4,2012,1,30,1659,0703, 
30,2,2012-01-31,45.0,24.0,35.0,11.0,21.0,29.0,30.0,0.0,0.0,0.0,29.0,30.11,1.5,11.0,3.2,2012,1,31,1700,0702, 
31,2,2012-02-01,55.0,33.0,44.0,20.0,33.0,39.0,21.0,0.0,0.0,0.01,28.77,29.87,11.1,26.0,11.9,2012,2,1,1701,0701,RA
32,2,2012-02-02,38.0,28.0,33.0,9.0,26.0,31.0,32.0,0.0,0.0,0.0,28.9,30.04,3.3,34.0,6.1,2012,2,2,1703,0660,BR
33,2,2012-02-03,36.0,19.0,28.0,4.0,12.0,23.0,37.0,0.0,0.0,0.0,29.15,30.31,9.0,31.0,10.3,2012,2,3,1704,0659, 
34,2,2012-02-04,39.0,25.0,32.0,8.0,17.0,27.0,33.0,0.0,0.0,0.0,29.05,30.17,7.8,29.0,9.2,2012,2,4,1705,0658, 
35,2,2012-02-05,33.0,17.0,25.0,1.0,7.0,20.0,40.0,0.0,0.0,0.0,28.97,30.11,4.2,31.0,5.6,2012,2,5,1707,0657, 
36,2,2012-02-06,47.0,23.0,35.0,11.0,18.0,29.0,30.0,0.0,0.0,0.0,28.84,29.94,14.4,26.0,14.6,2012,2,6,1708,0656, 
37,2,2012-02-07,42.0,27.0,35.0,10.0,21.0,30.0,30.0,0.0,0.0,0.0,28.87,30.02,8.1,29.0,9.1,2012,2,7,1709,0654, 
38,2,2012-02-08,34.0,16.0,25.0,0.0,8.0,22.0,40.0,0.0,0.0,0.0,29.08,30.2,4.0,25.0,5.6,2012,2,8,1711,0653, 
39,2,2012-02-09,43.0,27.0,35.0,10.0,11.0,26.0,30.0,0.0,0.0,0.0,28.9,30.03,10.4,28.0,11.0,2012,2,9,1712,0652, 
40,2,2012-02-10,46.0,28.0,37.0,12.0,17.0,30.0,28.0,0.0,0.0,0.0,28.9,30.0,8.5,23.0,9.2,2012,2,10,1713,0651, 
41,2,2012-02-11,38.0,23.0,31.0,6.0,21.0,28.0,34.0,0.0,0.5,0.01,28.59,29.67,5.4,35.0,8.0,2012,2,11,1714,0649,SN BR
42,2,2012-02-12,23.0,11.0,17.0,8.0,0.0,13.0,48.0,0.0,0.0,0.0,28.53,29.7,15.8,30.0,16.4,2012,2,12,1716,0648, 
43,2,2012-02-13,37.0,12.0,25.0,0.0,12.0,22.0,40.0,0.0,0.22693110647181636,0.14992152466367728,28.72,29.87,11.1,25.0,11.8,2012,2,13,1717,0647,SN
44,2,2012-02-14,40.0,27.0,34.0,8.0,11.0,26.0,31.0,0.0,0.0,0.0,28.91,30.05,6.4,24.0,7.6,2012,2,14,1718,0645, 
45,2,2012-02-15,44.0,33.0,39.0,13.0,30.0,34.0,26.0,0.0,0.0,0.14992152466367728,29.02,30.15,3.9,28.0,4.6,2012,2,15,1720,0644,RA UP
46,2,2012-02-16,43.0,29.0,36.0,10.0,29.0,33.0,29.0,0.0,0.22693110647181636,0.15,29.07,30.18,5.2,24.0,7.1,2012,2,16,1721,0643,RA SN BR
47,2,2012-02-17,46.0,31.0,39.0,13.0,29.0,35.0,26.0,0.0,0.0,0.06,28.82,29.92,9.3,27.0,11.0,2012,2,17,1722,0641,RA BR
48,2,2012-02-18,42.0,30.0,36.0,10.0,21.0,30.0,29.0,0.0,0.0,0.0,28.8,29.92,10.9,27.0,11.2,2012,2,18,1723,0640, 
49,2,2012-02-19,41.0,27.0,34.0,7.0,17.0,28.0,31.0,0.0,0.0,0.0,28.89,30.0,5.2,33.0,6.2,2012,2,19,1725,0638, 
50,2,2012-02-20,38.0,22.0,30.0,3.0,9.0,23.0,35.0,0.0,0.0,0.0,28.96,30.12,9.0,34.0,9.8,2012,2,20,1726,0637, 
51,2,2012-02-21,40.0,21.0,31.0,4.0,18.0,27.0,34.0,0.0,0.22693110647181636,0.14992152466367728,29.07,30.16,6.4,21.0,8.7,2012,2,21,1727,0636,RA SN
52,2,2012-02-22,52.0,35.0,44.0,17.0,29.0,37.0,21.0,0.0,0.0,0.0,28.58,29.65,11.1,23.0,11.5,2012,2,22,1728,0634, 
53,2,2012-02-23,49.0,33.0,41.0,13.0,31.0,37.0,24.0,0.0,0.0,0.01,28.4,29.52,9.0,27.0,10.2,2012,2,23,1730,0633,RA BR
54,2,2012-02-24,36.0,31.0,34.0,6.0,29.0,32.0,31.0,0.0,0.2,0.67,28.54,29.59,3.8,7.0,6.4,2012,2,24,1731,0631,RA SN FG+ BR UP
55,2,2012-02-25,38.0,27.0,33.0,5.0,21.0,29.0,32.0,0.0,0.22693110647181636,0.14992152466367728,28.27,29.43,23.3,27.0,23.6,2012,2,25,1732,0629,SN
56,2,2012-02-26,36.0,21.0,29.0,1.0,4.0,21.0,36.0,0.0,0.0,0.0,29.03,30.23,14.5,29.0,14.9,2012,2,26,1733,0628, 
57,2,2012-02-27,48.0,20.0,34.0,5.0,20.0,30.0,31.0,0.0,0.0,0.0,29.15,30.24,9.7,22.0,11.1,2012,2,27,1735,0626, 
58,2,2012-02-28,44.0,31.0,38.0,9.0,17.0,30.0,27.0,0.0,0.0,0.0,29.09,30.25,9.9,30.0,10.5,2012,2,28,1736,0625, 
59,2,2012-02-29,33.0,28.0,31.0,2.0,21.0,27.0,34.0,0.0,4.0,0.51,29.11,30.19,4.4,7.0,5.1,2012,2,29,1734,0619,SN FG+ FZFG BR
60,2,2012-03-01,32.0,20.0,26.0,3.0,26.0,27.0,39.0,0.0,4.3,0.54,28.69,29.83,13.3,5.0,14.1,2012,3,1,1737,0623,FZRA SN FZFG BR
61,2,2012-03-02,28.0,20.0,24.0,6.0,22.0,23.0,41.0,0.0,0.5,0.04,28.95,30.08,4.6,9.0,6.2,2012,3,2,1738,0622,SN FG+ FZFG BR UP
62,2,2012-03-03,41.0,28.0,35.0,5.0,33.0,35.0,30.0,0.0,0.2,0.53,28.5,29.57,3.6,24.0,8.5,2012,3,3,1739,0620,RA FZRA FG+ FG FZFG BR
63,2,2012-03-04,39.0,28.0,34.0,4.0,19.0,28.0,31.0,0.0,0.0,0.0,28.5,29.61,7.7,27.0,8.1,2012,3,4,1741,0618, 
64,2,2012-03-05,31.0,18.0,25.0,6.0,7.0,20.0,40.0,0.0,0.0,0.0,28.77,29.97,14.1,28.0,14.6,2012,3,5,1742,0617, 
65,2,2012-03-06,35.0,12.0,24.0,7.0,3.0,19.0,41.0,0.0,0.0,0.0,29.31,30.5,7.5,28.0,9.2,2012,3,6,1743,0615, 
66,2,2012-03-07,56.0,28.0,42.0,11.0,26.0,36.0,23.0,0.0,0.0,0.0,29.28,30.38,17.2,23.0,17.4,2012,3,7,1744,0613, 
67,2,2012-03-08,64.0,45.0,55.0,23.0,43.0,49.0,10.0,0.0,0.0,0.14992152466367728,28.97,30.01,22.7,22.0,23.1,2012,3,8,1745,0612,RA
