,station_nbr,date,tmax,tmin,tavg,depart,dewpoint,wetbulb,heat,cool,sunrise,sunset,codesum,snowfall,preciptotal,stnpressure,sealevel,resultspeed,resultdir,avgspeed,year,month,day
0,7,2012-01-01,50,33,42,M,26,35,23, 0,-,-, ,0.0,0.00,29.15,30.54,10.3,32,10.2,2012,1,1
1,7,2012-01-02,44,26,35,M,17,29,30, 0,-,-, ,0.0,0.00,29.23,30.66, 5.7,34,6.9,2012,1,2
2,7,2012-01-03,60,27,44,M,22,35,21, 0,-,-, ,0.0,0.00,28.84,30.30,15.7,19,15.9,2012,1,3
3,7,2012-01-04,58,32,45,M,28,37,20, 0,-,-, ,0.0,0.00,28.90,30.31, 5.0,33,7.4,2012,1,4
4,7,2012-01-05,66,28,47,M,29,40,18, 0,-,-, ,0.0,0.00,28.71,30.13,12.2,20,12.4,2012,1,5
5,7,2012-01-06,67,41,54,M,31,42,11, 0,-,-, ,0.0,0.00,28.51,29.89, 7.3,22,14.4,2012,1,6
6,7,2012-01-07,58,33,46,M,25,37,19, 0,-,-, ,0.0,0.00,28.69,30.06, 9.8,02,10.4,2012,1,7
7,7,2012-01-08,51,39,45,M,26,37,20, 0,-,-, ,0.0,0.00,28.78,30.16,10.6,01,10.8,2012,1,8
8,7,2012-01-09,52,27,40,M,26,34,25, 0,-,-, ,0.0,0.00,28.79,30.21, 8.6,36,8.8,2012,1,9
9,7,2012-01-10,55,32,44,M,28,36,21, 0,-,-,RA,0.0,  T,28.51,29.95, 5.0,36,6.5,2012,1,10
10,7,2012-01-11,53,28,41,M,27,34,24, 0,-,-,SN BR,  T,  T,28.47,29.84,12.5,34,15.8,2012,1,11
11,7,2012-01-12,36,18,27,M,3,21,38, 0,-,-, ,0.0,0.00,28.77,30.17,12.4,31,12.8,2012,1,12
12,7,2012-01-13,52,17,35,M,17,28,30, 0,-,-, ,0.0,0.00,28.76,30.18, 5.9,22,6.5,2012,1,13
