,station_nbr,date,tmax,tmin,tavg,depart,dewpoint,wetbulb,heat,cool,sunrise,sunset,codesum,snowfall,preciptotal,stnpressure,sealevel,resultspeed,resultdir,avgspeed,year,month,day
0,19,2012-01-01,38,25,32,10,26,30,33, 0,0723,1628,RA SN BR,0.5,0.12,29.06,29.79,14.6,29,15.6,2012,1,1
1,19,2012-01-02,25,15,20,-2,9,17,45, 0,0723,1629,SN,  T,  T,29.47,30.20,17.8,31,18.1,2012,1,2
2,19,2012-01-03,26,10,18,-3,5,15,47, 0,0723,1630, ,0.0,0.00,29.43,30.26, 5.5,23,9.2,2012,1,3
3,19,2012-01-04,34,24,29, 8,17,25,36, 0,0723,1631, ,0.0,0.00,29.21,30.00, 7.9,27,9.7,2012,1,4
4,19,2012-01-05,47,26,37,16,26,33,28, 0,0723,1631, ,0.0,0.00,29.02,29.83, 8.4,23,8.5,2012,1,5
5,19,2012-01-06,51,38,45,24,29,38,20, 0,0723,1632, ,0.0,0.00,28.95,29.71, 7.2,27,7.9,2012,1,6
6,19,2012-01-07,41,29,35,14,23,31,30, 0,0722,1633, ,0.0,0.00,29.32,30.03, 7.4,30,7.7,2012,1,7
7,19,2012-01-08,41,19,30, 9,21,28,35, 0,0722,1635, ,0.0,0.00,29.53,30.29, 4.4,23,4.5,2012,1,8
8,19,2012-01-09,46,27,37,16,26,32,28, 0,0722,1636, ,0.0,0.00,29.23,30.03,11.7,24,12.1,2012,1,9
9,19,2012-01-10,50,25,38,17,28,34,27, 0,0722,1637, ,0.0,0.00,29.14,29.93, 4.5,21,4.9,2012,1,10
10,19,2012-01-11,55,28,42,22,29,35,23, 0,0721,1638,BR HZ,0.0,0.00,28.85,29.64, 0.7,21,2.5,2012,1,11
11,19,2012-01-12,36,20,28, 8,M,M,37, 0,0721,1639,DZ SN BR HZ,6.1,0.35,28.72,M,13.2,34,14.1,2012,1,12
12,19,2012-01-13,22,18,20, 0,14,19,45, 0,0721,1640,SN,0.6,0.05,29.11,29.84,11.0,30,11.1,2012,1,13
13,19,2012-01-14,21,14,18,-2,9,15,47, 0,0720,1641,SN,0.3,0.01,29.38,30.12, 5.4,27,5.7,2012,1,14
14,19,2012-01-15,30,10,20, 0,15,21,45, 0,0720,1642,SN,  T,  T,29.41,30.22, 10.0,18,10.8,2012,1,15
15,19,2012-01-16,41,29,35,15,28,32,30, 0,0719,1644,BR,0.0,0.00,29.01,29.81, 3.6,22,8.3,2012,1,16
16,19,2012-01-17,37,13,25, 5,M,M,40, 0,0719,1645,RA SN BR HZ BLSN,2.3,0.16,29.16,M,13.9,34,16.3,2012,1,17
17,19,2012-01-18,24,6,15,-5,7,14,50, 0,0718,1646, ,0.0,0.00,29.27,30.09, 7.8,22,9.7,2012,1,18
